round,id,reliability,operational,OandM
12,Cumulus7,0.96,1,6.9
12,Cumulus6,0.96,1,6.9
12,Cumulus5,0.96,1,4.6
12,Cumulus4,0.96,1,4.6
12,Cumulus3,0.96,1,4.6
12,Cumulus2,0.96,1,4.6
12,Cumulus1,0.96,1,9.3
12,Nimbus3,0.96,1,18.6
12,Nimbus4,0.96,1,23.1
12,Nimbus2,0.956,1,11.7
12,Nimbus1,0.956,1,11.7
12,a3,0.941,1,12.1
12,a4,0.915,1,2.6
12,a1,0.91,1,93.6
12,peaker8,0.96,1,2.5
12,peaker7,0.96,1,2.5
12,peaker6,0.96,1,6.2
12,peaker5,0.956,1,2.5
12,peaker4,0.956,1,2.5
12,peaker3,0.956,1,2.5
12,peaker2,0.956,1,2.5
12,peaker1,0.956,1,2.5
12,a7,0.925,1,1.3
12,a8,0.92,1,1.4
13,Cirrus Wind,0.941,1,33.1
13,Cumulus9,0.954,1,9.3
13,Cumulus8,0.954,1,9.3
13,Cumulus7,0.954,1,6.9
13,Cumulus6,0.954,1,6.9
13,Cumulus5,0.952,1,4.6
13,Cumulus4,0.952,1,4.6
13,Cumulus3,0.952,1,4.6
13,Cumulus2,0.952,1,4.6
13,Cumulus1,0.95,1,9.3
13,Nimbus8,0.96,0,9.3
13,Nimbus7,0.96,0,9.3
13,Nimbus6,0.96,0,9.3
13,Nimbus5,0.96,0,9.3
13,Nimbus4,0.956,1,18.5
13,Nimbus3,0.956,1,23.1
13,Nimbus2,0.944,1,11.7
13,Nimbus1,0.944,1,11.7
13,a3,0.921,1,12.4
13,a4,0.88,1,2.8
13,a1,0.883,1,94.9
13,peaker8,0.952,1,2.5
13,peaker7,0.952,1,2.5
13,peaker6,0.95,1,6.2
13,peaker5,0.945,1,2.5
13,peaker4,0.945,1,2.5
13,peaker3,0.945,1,2.5
13,peaker2,0.945,1,2.5
13,peaker1,0.945,1,2.5
13,a7,0.9,1,1.4
13,a8,0.894,1,1.4
14,Cirrus Wind,0.938,1,33.2
14,Cumulus9,0.952,1,9.3
14,Cumulus8,0.952,1,9.3
14,Cumulus7,0.952,1,6.9
14,Cumulus6,0.952,1,6.9
14,Cumulus5,0.95,1,4.6
14,Cumulus4,0.95,1,4.6
14,Cumulus3,0.95,0,4.6
14,Cumulus2,0.95,1,4.6
14,Cumulus1,0.947,1,9.3
14,Nimbus8,0.96,0,9.2
14,Nimbus7,0.96,0,9.2
14,Nimbus6,0.96,1,9.2
14,Nimbus5,0.96,1,9.2
14,Nimbus4,0.954,1,18.5
14,Nimbus3,0.954,1,23.1
14,Nimbus2,0.941,1,11.8
14,Nimbus1,0.941,1,11.8
14,a3,0.915,1,12.6
14,a4,0.874,0,2.9
14,a1,0.877,1,95.4
14,peaker8,0.95,1,2.5
14,peaker7,0.95,1,2.5
14,peaker6,0.948,1,6.2
14,peaker5,0.942,1,2.5
14,peaker4,0.942,1,2.5
